group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,vector_bits,,,,1049658.0,ns,806139
Bits,vector_bits,,,,2301780.0,ns,1612278
Bits,vector_bits,,,,3155539.0,ns,2418417
Bits,vector_bits,,,,3725288.0,ns,3224556
Bits,vector_bits,,,,4834467.0,ns,4030695
Bits,vector_bits,,,,5621349.0,ns,4836834
Bits,vector_bits,,,,6525544.0,ns,5642973
Bits,vector_bits,,,,7517607.0,ns,6449112
Bits,vector_bits,,,,8720066.0,ns,7255251
Bits,vector_bits,,,,10056419.0,ns,8061390
Bits,vector_bits,,,,10230961.0,ns,8867529
Bits,vector_bits,,,,11412686.0,ns,9673668
Bits,vector_bits,,,,12568979.0,ns,10479807
Bits,vector_bits,,,,13450617.0,ns,11285946
Bits,vector_bits,,,,14812342.0,ns,12092085
Bits,vector_bits,,,,15888543.0,ns,12898224
Bits,vector_bits,,,,17089412.0,ns,13704363
Bits,vector_bits,,,,17288517.0,ns,14510502
Bits,vector_bits,,,,19920899.0,ns,15316641
Bits,vector_bits,,,,18972128.0,ns,16122780
Bits,vector_bits,,,,21004568.0,ns,16928919
Bits,vector_bits,,,,21375015.0,ns,17735058
Bits,vector_bits,,,,22089145.0,ns,18541197
Bits,vector_bits,,,,22535400.0,ns,19347336
Bits,vector_bits,,,,24407052.0,ns,20153475
Bits,vector_bits,,,,28165180.0,ns,20959614
Bits,vector_bits,,,,28541183.0,ns,21765753
Bits,vector_bits,,,,26394966.0,ns,22571892
Bits,vector_bits,,,,28084393.0,ns,23378031
Bits,vector_bits,,,,30982345.0,ns,24184170
Bits,vector_bits,,,,31110892.0,ns,24990309
Bits,vector_bits,,,,33239391.0,ns,25796448
Bits,vector_bits,,,,32137545.0,ns,26602587
Bits,vector_bits,,,,33342230.0,ns,27408726
Bits,vector_bits,,,,33719705.0,ns,28214865
Bits,vector_bits,,,,35389295.0,ns,29021004
Bits,vector_bits,,,,34610779.0,ns,29827143
Bits,vector_bits,,,,36488518.0,ns,30633282
Bits,vector_bits,,,,38256149.0,ns,31439421
Bits,vector_bits,,,,47753677.0,ns,32245560
Bits,vector_bits,,,,39762155.0,ns,33051699
Bits,vector_bits,,,,40600179.0,ns,33857838
Bits,vector_bits,,,,41309992.0,ns,34663977
Bits,vector_bits,,,,42726383.0,ns,35470116
Bits,vector_bits,,,,42923999.0,ns,36276255
Bits,vector_bits,,,,43478610.0,ns,37082394
Bits,vector_bits,,,,44589111.0,ns,37888533
Bits,vector_bits,,,,46332284.0,ns,38694672
Bits,vector_bits,,,,51129865.0,ns,39500811
Bits,vector_bits,,,,52531041.0,ns,40306950
Bits,vector_bits,,,,49171415.0,ns,41113089
Bits,vector_bits,,,,50167754.0,ns,41919228
Bits,vector_bits,,,,55504210.0,ns,42725367
Bits,vector_bits,,,,53835960.0,ns,43531506
Bits,vector_bits,,,,52847140.0,ns,44337645
Bits,vector_bits,,,,56398611.0,ns,45143784
Bits,vector_bits,,,,56582615.0,ns,45949923
Bits,vector_bits,,,,56045869.0,ns,46756062
Bits,vector_bits,,,,57187852.0,ns,47562201
Bits,vector_bits,,,,58271122.0,ns,48368340
Bits,vector_bits,,,,58821024.0,ns,49174479
Bits,vector_bits,,,,59680303.0,ns,49980618
Bits,vector_bits,,,,61589113.0,ns,50786757
Bits,vector_bits,,,,63709024.0,ns,51592896
Bits,vector_bits,,,,63759075.0,ns,52399035
Bits,vector_bits,,,,62963225.0,ns,53205174
Bits,vector_bits,,,,64732392.0,ns,54011313
Bits,vector_bits,,,,68993574.0,ns,54817452
Bits,vector_bits,,,,65868096.0,ns,55623591
Bits,vector_bits,,,,79978998.0,ns,56429730
Bits,vector_bits,,,,68248090.0,ns,57235869
Bits,vector_bits,,,,69720684.0,ns,58042008
Bits,vector_bits,,,,70398373.0,ns,58848147
Bits,vector_bits,,,,72301637.0,ns,59654286
Bits,vector_bits,,,,73282504.0,ns,60460425
Bits,vector_bits,,,,73533762.0,ns,61266564
Bits,vector_bits,,,,74849741.0,ns,62072703
Bits,vector_bits,,,,76305234.0,ns,62878842
Bits,vector_bits,,,,77996677.0,ns,63684981
Bits,vector_bits,,,,78519806.0,ns,64491120
Bits,vector_bits,,,,81253767.0,ns,65297259
Bits,vector_bits,,,,82099412.0,ns,66103398
Bits,vector_bits,,,,86699794.0,ns,66909537
Bits,vector_bits,,,,81628407.0,ns,67715676
Bits,vector_bits,,,,82729930.0,ns,68521815
Bits,vector_bits,,,,83682329.0,ns,69327954
Bits,vector_bits,,,,87090016.0,ns,70134093
Bits,vector_bits,,,,85074533.0,ns,70940232
Bits,vector_bits,,,,87088497.0,ns,71746371
Bits,vector_bits,,,,90663787.0,ns,72552510
Bits,vector_bits,,,,88235696.0,ns,73358649
Bits,vector_bits,,,,89216260.0,ns,74164788
Bits,vector_bits,,,,92465998.0,ns,74970927
Bits,vector_bits,,,,91319099.0,ns,75777066
Bits,vector_bits,,,,100013319.0,ns,76583205
Bits,vector_bits,,,,94043734.0,ns,77389344
Bits,vector_bits,,,,92348734.0,ns,78195483
Bits,vector_bits,,,,96434266.0,ns,79001622
Bits,vector_bits,,,,97019980.0,ns,79807761
Bits,vector_bits,,,,97917505.0,ns,80613900
